"lang"
{
"Language" "ukrainian"
"Tokens"
{
// ---------------------------------------------------------------------------------------------
// GAMEUI_ENGLISH.txt

		"GameUI_MainMenuMovieScene"	"Тло головного меню"
	"CSGO_crate_signature_pack_columbus2016_group_2"     "Капсула з автографом | Legends (лискуча) | MLG Колумбус 2016"
	"CSGO_crate_signature_pack_columbus2016_group_2_desc" "Ця капсула містить одну лискучу наліпку з автографом гравця з команд-легенд на «MLG Колумбус 2016».\n\n50% коштів, отриманих із продажу цієї капсули, буде передано вказаним гравцям та організаціям.\n\nЦя наліпка прикріплюється на будь-яку вашу зброю і її можна пошкрябати, аби вона виглядала більш зношеною. Ви можете шкрябати наліпку кілька разів, щоразу роблячи її більш обшарпаною, аж доки вона не відпаде зі зброї."

	"CSGO_crate_sticker_pack_columbus2016_challengers_tag" "Учасники MLG Columbus 2016"
	"CSGO_crate_sticker_pack_columbus2016_challengers"     "Учасники MLG Columbus 2016 (гологр./лискуча)"
	"CSGO_crate_sticker_pack_columbus2016_challengers_desc" "Ця капсула містить одну гологр. чи лискучу наліпку з автографом учасника MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї капсули, буде передано вказаним гравцям та організаціям.\n\nЦя наліпка прикріплюється на будь-яку вашу зброю і її можна пошкрябати, аби вона виглядала більш зношеною. Ви можете шкрябати наліпку кілька разів, щоразу роблячи її більш обшарпаною, аж доки вона не відпаде зі зброї."
	"CSGO_crate_sticker_pack_columbus2016_legends_tag" "Легенди MLG Columbus 2016"
	"CSGO_crate_sticker_pack_columbus2016_legends"     "Легенди MLG Columbus 2016 (гологр./лискуча)"
	"CSGO_crate_sticker_pack_columbus2016_legends_desc" "Ця капсула містить одну гологр. чи лискучу наліпку з автографом учасника MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї капсули, буде передано вказаним гравцям та організаціям.\n\nЦя наліпка прикріплюється на будь-яку вашу зброю і її можна пошкрябати, аби вона виглядала більш зношеною. Ви можете шкрябати наліпку кілька разів, щоразу роблячи її більш обшарпаною, аж доки вона не відпаде зі зброї."
	"CSGO_crate_signature_pack_columbus2016_group_players_tag" "Автографи гравців MLG Columbus 2016"

	"StickerKit_columbus2016_signature_reltuc" "reltuC | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_reltuc" "Ця наліпка підписана професійним гравцем Steven Cutler з команди Counter Logic Gaming на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_reltuc_foil" "reltuC (лискуча) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_reltuc_foil" "Ця лискуча наліпка підписана професійним гравцем Steven Cutler з команди Counter Logic Gaming на MLG Columbus 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_reltuc_gold" "reltuC (золота) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_reltuc_gold" "Ця золота наліпка підписана професійним гравцем Steven Cutler з команди Counter Logic Gaming на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."

	"StickerKit_columbus2016_signature_fugly" "FugLy | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_fugly" "Ця наліпка підписана професійним гравцем Jacob Medina з команди Counter Logic Gaming на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_fugly_foil" "FugLy (лискуча) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_fugly_foil" "Ця лискуча наліпка підписана професійним гравцем Jacob Medina з команди Counter Logic Gaming на MLG Columbus 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_fugly_gold" "FugLy (золота) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_fugly_gold" "Ця золота наліпка підписана професійним гравцем Jacob Medina з команди Counter Logic Gaming на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."

	"StickerKit_columbus2016_signature_hazed" "hazed | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_hazed" "Ця наліпка підписана професійним гравцем James Cobb з команди Counter Logic Gaming на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_hazed_foil" "hazed (лискуча) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_hazed_foil" "Ця лискуча наліпка підписана професійним гравцем James Cobb з команди Counter Logic Gaming на MLG Columbus 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_hazed_gold" "hazed (золота) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_hazed_gold" "Ця золота наліпка підписана професійним гравцем James Cobb з команди Counter Logic Gaming на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."

	"StickerKit_columbus2016_signature_jdm64" "jdm64 | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_jdm64" "Ця наліпка підписана професійним гравцем Joshua Marzano з команди Counter Logic Gaming на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_jdm64_foil" "jdm64 (лискуча) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_jdm64_foil" "Ця лискуча наліпка підписана професійним гравцем Joshua Marzano з команди Counter Logic Gaming на MLG Columbus 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_jdm64_gold" "jdm64 (золота) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_jdm64_gold" "Ця золота наліпка підписана професійним гравцем Joshua Marzano з команди Counter Logic Gaming на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."

	"StickerKit_columbus2016_signature_tarik" "tarik | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_tarik" "Ця наліпка підписана професійним гравцем Tarik Celik з команди Counter Logic Gaming на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_tarik_foil" "tarik (лискуча) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_tarik_foil" "Ця лискуча наліпка підписана професійним гравцем Tarik Celik з команди Counter Logic Gaming на MLG Columbus 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_tarik_gold" "tarik (золота) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_tarik_gold" "Ця золота наліпка підписана професійним гравцем Tarik Celik з команди Counter Logic Gaming на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."

	"StickerKit_columbus2016_signature_freakazoid" "freakazoid | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_freakazoid" "Ця наліпка підписана професійним гравцем Ryan Abadir з команди Cloud9 на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_freakazoid_foil" "freakazoid (лискуча) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_freakazoid_foil" "Ця лискуча наліпка підписана професійним гравцем Ryan Abadir з команди Cloud9 на MLG Columbus 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_freakazoid_gold" "freakazoid (золота) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_freakazoid_gold" "Ця золота наліпка підписана професійним гравцем Ryan Abadir з команди Cloud9 на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."

	"StickerKit_columbus2016_signature_stewie2k" "Stewie2K | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_stewie2k" "Ця наліпка підписана професійним гравцем Jacky Yip з команди Cloud9 на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_stewie2k_foil" "Stewie2K (лискуча) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_stewie2k_foil" "Ця лискуча наліпка підписана професійним гравцем Jacky Yip з команди Cloud9 на MLG Columbus 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_stewie2k_gold" "Stewie2K (золота) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_stewie2k_gold" "Ця золота наліпка підписана професійним гравцем Jacky Yip з команди Cloud9 на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."

	"StickerKit_columbus2016_signature_shroud" "shroud | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_shroud" "Ця наліпка підписана професійним гравцем Michael Grzesiek з команди Cloud9 на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_shroud_foil" "shroud (лискуча) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_shroud_foil" "Ця лискуча наліпка підписана професійним гравцем Michael Grzesiek з команди Cloud9 на MLG Columbus 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_shroud_gold" "shroud (золота) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_shroud_gold" "Ця золота наліпка підписана професійним гравцем Michael Grzesiek з команди Cloud9 на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."

	"StickerKit_columbus2016_signature_skadoodle" "Skadoodle | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_skadoodle" "Ця наліпка підписана професійним гравцем Tyler Latham з команди Cloud9 на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_skadoodle_foil" "Skadoodle (лискуча) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_skadoodle_foil" "Ця лискуча наліпка підписана професійним гравцем Tyler Lнаham з команди Cloud9 на MLG Columbus 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_skadoodle_gold" "Skadoodle (золота) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_skadoodle_gold" "Ця золота наліпка підписана професійним гравцем Tyler Latham з команди Cloud9 на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."

	"StickerKit_columbus2016_signature_nothing" "n0thing | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_nothing" "Ця наліпка підписана професійним гравцем Jordan Gilbert з команди Cloud9 на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_nothing_foil" "n0thing (лискуча) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_nothing_foil" "Ця лискуча наліпка підписана професійним гравцем Jordan Gilbert з команди Cloud9 на MLG Columbus 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_nothing_gold" "n0thing (золота) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_nothing_gold" "Ця золота наліпка підписана професійним гравцем Jordan Gilbert з команди Cloud9 на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."

	"StickerKit_columbus2016_signature_apex" "apEX | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_apex" "Ця наліпка підписана професійним гравцем Dan Madesclaire з команди Team EnVyUs на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_apex_foil" "apEX (лискуча) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_apex_foil" "Ця лискуча наліпка підписана професійним гравцем Dan Madesclaire з команди Team EnVyUs на MLG Columbus 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_apex_gold" "apEX (золота) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_apex_gold" "Ця золота наліпка підписана професійним гравцем Dan Madesclaire з команди Team EnVyUs на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."

	"StickerKit_columbus2016_signature_happy" "Happy | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_happy" "Ця наліпка підписана професійним гравцем Vincent Cervoni з команди Team EnVyUs на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_happy_foil" "Happy (лискуча) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_happy_foil" "Ця лискуча наліпка підписана професійним гравцем Vincent Cervoni з команди Team EnVyUs на MLG Columbus 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_happy_gold" "Happy (золота) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_happy_gold" "Ця золота наліпка підписана професійним гравцем Vincent Cervoni з команди Team EnVyUs на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."

	"StickerKit_columbus2016_signature_devil" "DEVIL | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_devil" "Ця наліпка підписана професійним гравцем Timothée Démolon з команди Team EnVyUs на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_devil_foil" "DEVIL (лискуча) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_devil_foil" "Ця лискуча наліпка підписана професійним гравцем Timothée Démolon з команди Team EnVyUs на MLG Columbus 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_devil_gold" "DEVIL (золота) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_devil_gold" "Ця золота наліпка підписана професійним гравцем Timothée Démolon з команди Team EnVyUs на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."

	"StickerKit_columbus2016_signature_kennys" "kennyS | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_kennys" "Ця наліпка підписана професійним гравцем Kenny Schrub з команди Team EnVyUs на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_kennys_foil" "kennyS (лискуча) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_kennys_foil" "Ця лискуча наліпка підписана професійним гравцем Kenny Schrub з команди Team EnVyUs на MLG Columbus 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_kennys_gold" "kennyS (золота) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_kennys_gold" "Ця золота наліпка підписана професійним гравцем Kenny Schrub з команди Team EnVyUs на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."

	"StickerKit_columbus2016_signature_nbk" "NBK- | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_nbk" "Ця наліпка підписана професійним гравцем Nathan Schmitt з команди Team EnVyUs на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_nbk_foil" "NBK- (лискуча) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_nbk_foil" "Ця лискуча наліпка підписана професійним гравцем Nнаhan Schmitt з команди Team EnVyUs на MLG Columbus 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_nbk_gold" "NBK- (золота) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_nbk_gold" "Ця золота наліпка підписана професійним гравцем Nathan Schmitt з команди Team EnVyUs на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."

	"StickerKit_columbus2016_signature_b1ad3" "B1ad3 | MLG Колумбус 2016"
	"StickerKit_desc_columbus2016_signature_b1ad3" "Ця наліпка підписана професійним гравцем Andrey Gorodenskiy з команди Flipsid3 Tactics на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_b1ad3_foil" "B1ad3 (лискуча) | MLG Колумбус 2016"
	"StickerKit_desc_columbus2016_signature_b1ad3_foil" "Ця лискуча наліпка підписана професійним гравцем Andrey Gorodenskiy з команди Flipsid3 Tactics на MLG Columbus 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_b1ad3_gold" "B1ad3 (золота) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_b1ad3_gold" "Ця золота наліпка підписана професійним гравцем Andrey Gorodenskiy з команди Flipsid3 Tactics на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."

	"StickerKit_columbus2016_signature_bondik" "bondik | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_bondik" "Ця наліпка підписана професійним гравцем Vladyslav Nechyporchuk з команди Flipsid3 Tactics на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_bondik_foil" "bondik (лискуча) | MLG Колумбус 2016"
	"StickerKit_desc_columbus2016_signature_bondik_foil" "Ця лискуча наліпка підписана професійним гравцем Vladyslav Nechyporchuk з команди Flipsid3 Tactics на MLG Columbus 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_bondik_gold" "bondik (золота) | MLG Колумбус 2016"
	"StickerKit_desc_columbus2016_signature_bondik_gold" "Ця золота наліпка підписана професійним гравцем Vladyslav Nechyporchuk з команди Flipsid3 Tactics на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."

	"StickerKit_columbus2016_signature_shara" "Shara | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_shara" "Ця наліпка підписана професійним гравцем Oleksandr Hordieiev з команди Flipsid3 Tactics на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_shara_foil" "Shara (лискуча) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_shara_foil" "Ця лискуча наліпка підписана професійним гравцем Oleksandr Hordieiev з команди Flipsid3 Tactics на MLG Columbus 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_shara_gold" "Shara (золота) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_shara_gold" "Ця золота наліпка підписана професійним гравцем Oleksandr Hordieiev з команди Flipsid3 Tactics на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."

	"StickerKit_columbus2016_signature_markeloff" "markeloff | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_markeloff" "Ця наліпка підписана професійним гравцем Yegor Markelov з команди Flipsid3 Tactics на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_markeloff_foil" "markeloff (лискуча) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_markeloff_foil" "Ця лискуча наліпка підписана професійним гравцем Yegor Markelov з команди Flipsid3 Tactics на MLG Columbus 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_markeloff_gold" "markeloff (золота) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_markeloff_gold" "Ця золота наліпка підписана професійним гравцем Yegor Markelov з команди Flipsid3 Tactics на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."

	"StickerKit_columbus2016_signature_worldedit" "WorldEdit | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_worldedit" "Ця наліпка підписана професійним гравцем Georgy Yaskin з команди Flipsid3 Tactics на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_worldedit_foil" "WorldEdit (лискуча) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_worldedit_foil" "Ця лискуча наліпка підписана професійним гравцем Georgy Yaskin з команди Flipsid3 Tactics на MLG Columbus 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_worldedit_gold" "WorldEdit (золота) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_worldedit_gold" "Ця золота наліпка підписана професійним гравцем Georgy Yaskin з команди Flipsid3 Tactics на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."

	"StickerKit_columbus2016_signature_flusha" "flusha | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_flusha" "Ця наліпка підписана професійним гравцем Robin Rönnquist з команди Fnatic на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_flusha_foil" "flusha (лискуча) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_flusha_foil" "Ця лискуча наліпка підписана професійним гравцем Robin Rönnquist з команди Fnatic на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_flusha_gold" "flusha (золота) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_flusha_gold" "Ця золота наліпка підписана професійним гравцем Robin Rönnquist з команди Fnatic на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."

	"StickerKit_columbus2016_signature_jw" "JW | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_jw" "Ця наліпка підписана професійним гравцем Jesper Wecksell з команди Fnatic на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_jw_foil" "JW (лискуча) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_jw_foil" "Ця лискуча наліпка підписана професійним гравцем Jesper Wecksell з команди Fnatic на MLG Columbus 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_jw_gold" "JW (золота) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_jw_gold" "Ця золота наліпка підписана професійним гравцем Jesper Wecksell з команди Fnatic на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."

	"StickerKit_columbus2016_signature_krimz" "KRIMZ | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_krimz" "Ця наліпка підписана професійним гравцем Lars Freddy Johansson з команди Fnatic на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_krimz_foil" "KRIMZ (лискуча) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_krimz_foil" "Ця лискуча наліпка підписана професійним гравцем Lars Freddy Johansson з команди Fnatic на MLG Columbus 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_krimz_gold" "KRIMZ (золота) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_krimz_gold" "Ця золота наліпка підписана професійним гравцем Lars Freddy Johansson з команди Fnatic на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."

	"StickerKit_columbus2016_signature_olofmeister" "olofmeister | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_olofmeister" "Ця наліпка підписана професійним гравцем Olof Kajbjer з команди Fnatic на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_olofmeister_foil" "olofmeister (лискуча) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_olofmeister_foil" "Ця лискуча наліпка підписана професійним гравцем Olof Kajbjer з команди Fnatic на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_olofmeister_gold" "olofmeister (золота) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_olofmeister_gold" "Ця золота наліпка підписана професійним гравцем Olof Kajbjer з команди Fnatic на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."

	"StickerKit_columbus2016_signature_dennis" "dennis | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_dennis" "Ця наліпка підписана професійним гравцем Dennis Edman з команди Fnatic на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_dennis_foil" "dennis (лискуча) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_dennis_foil" "Ця лискуча наліпка підписана професійним гравцем Dennis Edman з команди Fnatic на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_dennis_gold" "dennis (золота) | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_dennis_gold" "Ця золота наліпка підписана професійним гравцем Dennis Edman з команди Fnatic на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."

	"StickerKit_columbus2016_signature_aizy" "aizy | MLG Columbus 2016"
	"StickerKit_desc_columbus2016_signature_aizy" "Ця наліпка підписана професійним гравцем Philip Aistrup Larsen з команди FaZe Clan на MLG Колумбус 2016.\n\n50% коштів, отриманих із продажу цієї наліпки, буде передано вказаному гравцеві та організації."
	"StickerKit_columbus2016_signature_aizy_foil" "aizy (лискуча) | MLG Columbus 2016"
